[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000278s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.004084s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.051895s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.004163s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=6 ORDER BY sort DESC  [ RunTime:0.027893s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined offset: 1 publicAction.class.php 第 26 行.
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_template ] --START--
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run LocationTemplate Behavior [ RunTime:0.002589s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002700s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_parse ] --START--
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ParseTemplate Behavior [ RunTime:0.112214s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.112314s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_filter ] --START--
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ContentReplace Behavior [ RunTime:0.001485s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run TokenBuild Behavior [ RunTime:0.001457s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001262s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ShowRuntime Behavior [ RunTime:0.001539s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006001s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --START--
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001472s ]
[ 2016-03-02T13:58:31+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001569s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ app_begin ] --START--
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001626s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run CheckLang Behavior [ RunTime:0.002667s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004479s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004865s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.005016s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003582s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003645s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003325s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003570s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.003701s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000296s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.005078s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000618s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.003608s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000373s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003817s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000445s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.003628s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.000939s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.004456s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=6 ORDER BY sort DESC  [ RunTime:0.000773s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | NOTIC: [8] Undefined offset: 1 publicAction.class.php 第 26 行.
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_template ] --START--
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run LocationTemplate Behavior [ RunTime:0.002436s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002534s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_parse ] --START--
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run ParseTemplate Behavior [ RunTime:0.016281s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016389s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_filter ] --START--
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run ContentReplace Behavior [ RunTime:0.001448s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run TokenBuild Behavior [ RunTime:0.001433s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001362s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Run ShowRuntime Behavior [ RunTime:0.001685s ]
[ 2016-03-02T13:58:32+08:00 ] /hz/index.php?a=menu&m=public&tag=6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006201s ]
