[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ParseTemplate Behavior [ RunTime:0.011335s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011437s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_filter ] --START--
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ContentReplace Behavior [ RunTime:0.000454s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run TokenBuild Behavior [ RunTime:0.000483s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000315s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ShowRuntime Behavior [ RunTime:0.000587s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002098s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_end ] --START--
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000492s ]
[ 2016-02-04T11:13:08+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000587s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Tag[ app_begin ] --START--
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000704s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Run CheckLang Behavior [ RunTime:0.001231s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002131s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002913s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.003310s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002434s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002614s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002392s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002754s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002850s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000321s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002658s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000383s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002513s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000324s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_erweima` [ RunTime:0.003078s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT COUNT(*) AS tp_count FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id WHERE ( `status` = 4 ) LIMIT 1   [ RunTime:0.001685s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: p dianpuAction.class.php 第 81 行.
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT * FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id WHERE ( `status` = 4 ) LIMIT 0,20   [ RunTime:0.001940s ]
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: shenhe dianpuAction.class.php 第 91 行.
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined variable: tx dianpuAction.class.php 第 95 行.
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: openid dianpuAction.class.php 第 96 行.
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Tag[ view_template ] --START--
[ 2016-02-04T11:13:09+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Run LocationTemplate Behavior [ RunTime:0.000470s ]
